,Region,Zoning ID,Expectation,Standard Deviation,Median,2.5th Percentile,97.5th Percentile,"[0.0,1.0)","[1.0,5.0)","[5.0,20.0)","[20.0,50.0)","[50.0,10000.0)"
0,Entire HK,0,4.9697,0.17257436078398203,5.0,4.0,5.0,0.0,0.0301,0.9699,0.0,0.0
1,HK Island,1,4.9697,0.17257436078398203,5.0,4.0,5.0,0.0,0.0301,0.9699,0.0,0.0
2,Kowloon,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,NT East,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,NT West,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Lantau Island,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
